Points in r1,Points in r2,Points in r3,Points in r4,Points in r5,Points in r6,Points in r7,Distance from closest point,Population ,Average Age,Average Household Income ,Activity
0,0,0,0,0,1,9,9.8545346,6232,39,128184,0
3,3,3,4,5,5,10,0.0451774,16734,38,150821.66,1
0,0,1,1,2,4,13,1.7731808,27534,32,132468,0
0,0,0,0,0,0,16,11.8396112,29708,32,152263,0
0,0,0,6,13,27,157,3.2614685,32393,30,142538.14,0
0,0,0,1,1,1,7,3.8470768,12346,41,117432,0
0,0,1,2,3,4,5,1.4228176,12356,37,101759,0
0,0,0,0,1,4,8,5.8821765,11258,38,116987,0
0,0,0,0,7,8,21,5.537073,11311,34,124159,0
0,0,0,0,1,2,7,6.8067494,9005,31,105797,1
1,1,3,37,76,126,217,0,34221,28,182927.31,1
0,0,0,1,2,2,6,4.8301139,3673,41,125552,0
0,0,0,1,1,7,11,2.5006727,11345,31,130480.48,0
0,0,0,0,1,2,7,5.2464846,12356,37,101759,0
0,0,3,40,69,92,213,1.5080849,34221,28,182927.31,0
0,0,0,1,2,5,10,4.669047,12346,41,117432,0
0,0,0,1,1,2,8,3.2249031,12346,41,117432,0
0,0,0,0,0,0,4,13.024976,23639,42,90300,0
0,0,0,1,1,1,13,2.1260292,11311,34,124159,0
0,0,0,0,1,1,28,6.1220911,32393,30,142538.14,0
0,0,0,3,3,4,9,3.138471,11258,38,116987,0
0,0,0,2,4,5,9,2.6683328,20434,39,126866,0
0,0,0,1,4,6,10,2.7784888,20434,39,126866,0
0,0,0,0,1,1,4,6.4660653,11251,41,106476,0
0,0,0,0,0,2,10,8.4599054,6232,39,128184,0
0,0,0,1,1,1,6,2.8136446,17870,41,143598.91,0
0,0,0,0,0,1,5,9.0426766,6232,39,128184,0
0,0,0,1,1,4,15,3.138471,12210,31,131646.75,0
0,0,0,1,1,1,2,2.5632011,16871,35,144796,0
6,7,11,15,25,62,160,0.0302655,6232,39,128184,1
0,0,0,0,0,1,5,8.8119237,12360,42,95556,0
0,0,0,0,0,1,5,9.3391648,9546,34,147858.21,0
0,0,0,0,0,1,2,9.2395887,27338,33,137513.32,0
0,0,0,0,1,3,5,6.090156,27338,37,136748,0
0,0,0,1,1,1,4,3.6235342,8779,39,102729.61,0
0,0,0,0,1,2,8,6.4412732,8924,42,125739.63,0
0,0,0,0,1,1,13,6.4443774,8283,36,117590.58,0
0,0,0,1,1,1,3,2.912044,6513,35,102979.26,0
17,18,22,42,57,94,231,0.0241661,36981,31,164856,1
0,0,0,1,1,2,6,2.4041631,5023,39,111509.65,0
1,1,2,9,19,63,155,0,18614,30,169443.96,1
0,0,0,0,1,2,5,6.8593003,8779,39,102729.61,0
0,0,0,0,0,1,4,7.7466122,9450,38,96353.24,0
0,0,0,0,1,1,13,6.0530984,6191,37,123540,0
0,0,0,1,2,2,8,4.6227697,20434,39,126866,0
0,0,0,0,0,0,9,10.5588825,16734,38,150821.66,0
0,0,0,1,1,1,6,4.8373546,3549,42,90300,0
0,0,0,0,1,2,8,5.2611786,32393,30,142538.14,0
0,0,0,0,0,0,3,10.2083299,3673,41,125552,0
0,0,0,1,1,1,3,4.8093659,8779,39,102729.61,0
0,0,0,0,0,6,29,7.783306,6232,39,128184,0
0,0,0,0,1,1,2,5.3338541,7492,41,87300,0
0,8,10,40,89,154,245,0.7684335,18614,30,169443.96,1
0,0,0,1,2,3,6,4.554119,18295,36,108496.35,0
0,0,3,39,50,86,230,1.1338152,36981,31,164856,1
0,0,0,0,0,0,6,10.357397,23639,42,90300,0
0,0,0,0,0,1,2,8.3186537,11914,38,107411.92,0
0,0,0,1,1,2,12,4.9929951,8283,36,117590.58,0
0,0,0,0,0,0,6,11.795762,39305,37,138248,0
0,0,0,1,2,3,12,4.5891176,11258,38,116987,0
0,0,0,0,1,1,1,7,3549,42,90300,0
0,0,0,1,1,3,8,3.0805844,8924,42,125739.63,0
0,1,3,3,3,3,9,0.953203,16734,38,150821.66,0
0,0,0,0,0,2,4,9.0934042,27338,37,136748,0
0,0,0,4,4,11,75,2.8665008,6232,39,128184,1
0,0,0,0,3,4,16,5.9272278,9809,40,146348,0
0,0,0,0,0,1,7,8.8022724,32393,30,142538.14,0
0,0,0,0,0,0,5,13.0511459,7394,38,87500,0
0,0,0,3,5,8,14,3.7282838,8283,36,117590.58,0
0,0,1,1,1,2,7,1.4142136,32393,30,142538.14,0
0,0,0,0,0,1,8,7.5153177,9546,34,147858.21,0
0,0,0,0,2,3,12,5.7030607,8283,36,117590.58,0
0,0,0,0,2,6,13,6.4811861,27534,32,132468,0
1,1,9,47,79,119,237,0.3354607,18614,30,169443.96,1
0,0,0,1,5,6,13,4.8270074,11345,31,130480.48,0
0,0,0,0,0,1,4,8,27338,37,136748,0
0,0,1,5,10,16,97,1.8808961,32144,30,169577.18,0
0,0,3,13,19,49,171,1.1531859,18614,30,169443.96,1
0,0,0,0,0,0,3,16.2197411,5023,39,111509.65,0
0,0,1,5,8,13,26,1.0251932,26977,23,148577.18,1
0,0,0,0,0,1,3,7.7201036,11914,38,107411.92,0
0,0,0,0,1,2,21,6.3702433,11345,31,130480.48,0
2,15,18,49,73,126,212,0.2825119,34221,28,182927.31,1
0,0,0,0,0,2,8,7.2124892,9546,34,147858.21,0
0,0,0,0,2,3,7,6.3007936,12356,37,101759,0
0,0,0,0,1,1,3,5.7384667,6513,35,102979.26,0
1,2,2,2,5,9,19,0,12210,31,131646.75,1
0,0,0,0,0,2,9,8.6353923,20434,39,126866,0
0,0,0,0,0,0,4,10.5008442,7394,38,87500,0
0,0,0,0,0,0,1,19.7797877,7769,42,106839.01,1
0,0,0,0,1,1,8,5.2924474,15069,44,100927.19,0
0,0,0,2,11,23,124,3.1284656,18614,30,169443.96,0
0,0,0,0,1,2,3,6.7186308,18295,36,108496.35,0
0,0,0,1,1,1,4,4.9929951,3673,41,125552,0
0,0,0,0,0,2,3,9.2986504,7769,42,106839.01,0
0,0,0,0,1,1,5,5.6547852,17870,41,143598.91,0
1,1,1,1,1,1,2,0.4472136,7769,42,106839.01,0
0,0,0,0,0,0,3,12.5255738,5023,39,111509.65,0
1,1,1,1,1,1,39,0.1970913,18295,36,108496.35,1
0,0,0,0,1,1,12,5.7306195,16734,38,150821.66,0
0,0,0,0,0,0,6,10.2927159,18295,36,108496.35,0
0,0,0,1,3,3,7,2.2644207,12356,37,101759,0
3,3,12,15,21,57,132,0.1700735,6232,39,128184,1
0,0,0,0,1,2,6,6.7119297,12346,41,117432,0
0,0,1,1,1,1,7,1.8439089,12346,41,117432,0
0,0,0,1,1,1,2,4.9162994,27338,33,137513.32,0
0,0,0,0,0,0,2,16.8961534,5023,39,111509.65,0
0,0,0,1,1,1,5,4.0101933,6232,39,128184,0
1,6,9,11,23,39,166,0.4584016,32393,30,142538.14,0
1,2,2,4,8,25,100,0.0554437,6232,39,128184,1
0,0,0,1,1,1,8,2.879236,8924,42,125739.63,0
3,10,17,34,62,126,226,0.009,34221,28,182927.31,1
1,1,1,3,5,8,12,0.222468,8283,36,117590.58,1
0,0,0,0,0,0,5,12.2539789,16871,35,144796,0
0,0,0,1,2,3,5,2.8122896,12356,37,101759,0
