Points in r1,Points in r2,Points in r3,Points in r4,Points in r5,Points in r6,Points in r7,Distance from closest point,Population ,Average Age,Average Household Income ,Activity
0,0,0,0,2,4,14,6.2641839,27534,32,132468,0
0,0,0,0,0,0,4,10.6569226,5023,39,111509.65,0
5,10,21,62,92,136,223,0.0181108,34221,28,182927.31,1
0,0,0,2,2,2,4,3.805576,23639,42,90300,0
0,0,0,0,0,0,8,11.2605506,12356,37,101759,0
0,0,0,0,1,3,19,6.8066144,26977,23,148577.18,0
1,2,2,8,20,78,175,0.1860242,34221,28,182927.31,1
0,4,7,24,47,82,221,1.6127758,11344,32,162709.06,1
0,1,3,7,14,39,116,7.3665527,11311,34,124159,1
0,0,0,0,1,8,19,6.0207973,11311,34,124159,0
0,0,0,0,2,4,7,5.375872,12360,42,95556,0
0,0,0,0,0,0,4,11.7408539,7394,38,87500,0
1,2,12,32,45,100,227,0.6752231,34221,28,182927.31,1
0,1,2,5,8,12,157,1.8008093,26977,23,148577.18,1
0,3,8,23,60,161,235,1.2222766,34221,28,182927.31,1
0,0,0,2,2,4,6,3.6808165,12356,37,101759,0
0,0,6,12,24,50,112,6.8067494,9005,31,105797,1
0,0,1,8,19,51,145,12.9181524,12346,41,117432,1
1,2,3,12,23,84,190,0,12210,31,131646.75,1
0,1,2,14,25,61,113,4.9621778,20434,39,126866,1
2,2,19,34,85,135,228,0.0815414,34221,28,182927.31,1
4,4,10,50,95,138,250,0.1174564,34221,28,182927.31,1
7,17,22,41,58,90,231,0.1224132,36981,31,164856,1
0,0,2,13,20,22,184,1.619105,32144,30,169577.18,1
4,4,4,18,30,64,125,0.0420595,11311,34,124159,1
0,0,1,1,2,2,5,1.9849433,8924,42,125739.63,0
0,0,0,1,1,1,5,2.1023796,35035,40,108496.35,0
0,1,1,6,24,76,154,1.1111313,27534,32,132468,1
9,10,20,62,92,136,223,0.0181108,34221,28,182927.31,1
0,5,12,34,47,125,217,0.9883562,34221,28,182927.31,1
0,0,0,0,0,0,0,21.2762779,11251,41,106476,0
0,0,6,14,48,135,203,8.4570597,23639,42,90300,1
0,1,6,18,27,93,175,1.9605145,34221,28,182927.31,1
0,0,0,0,0,1,2,9.5336247,5023,39,111509.65,0
0,0,0,0,0,0,10,11.3145923,17516,34,126162.82,0
7,10,27,62,87,136,223,0.029,34221,28,182927.31,1
0,2,6,15,89,113,204,0.6608669,34221,28,182927.31,1
0,0,0,1,1,1,4,2.8653098,9450,38,96353.24,0
0,0,0,1,1,2,5,4.8035508,6191,37,123540,0
0,2,12,28,51,95,230,1.1092323,34221,28,182927.31,1
1,1,2,10,53,97,228,0.1539094,11344,32,162709.06,1
0,0,0,0,1,1,8,5.5317267,12346,41,117432,0
0,0,0,0,1,2,2,6.685058,5023,39,111509.65,0
0,1,1,5,17,49,115,4.1127018,7820,32,103761.97,1
0,0,0,0,2,4,9,6.726812,11258,38,116987,0
1,2,9,26,70,134,249,0.0672602,34221,28,182927.31,1
0,0,0,0,1,3,17,6.9808591,8748,32,158305,0
0,5,5,7,7,10,25,0.929758,11311,34,124159,0
0,0,0,1,4,12,50,4.7155662,32144,30,169577.18,0
0,2,15,33,61,92,221,0.7123854,36981,31,164856,1
1,2,4,12,30,65,112,4.9621768,8924,42,125739.63,1
1,1,17,47,74,114,236,0.4237924,18614,30,169443.96,1
0,1,2,4,8,13,198,0.562466,12210,31,131646.75,1
0,0,0,0,2,3,11,5.4620063,3287,35,123131,0
0,0,0,0,1,1,2,6.060528,8779,39,102729.61,0
0,2,2,9,9,34,48,0.8670784,18614,30,169443.96,0
0,0,0,1,1,1,3,3.6269839,9450,38,96353.24,0
0,4,23,62,79,126,234,2.1053971,34221,28,182927.31,1
5,5,8,10,24,43,165,0.1183427,32393,30,142538.14,1
1,3,18,51,88,163,246,0,34221,28,182927.31,1
0,0,0,0,0,0,4,12.9437243,18295,36,108496.35,0
0,0,0,0,0,0,2,11.6846053,6513,35,102979.26,0
0,1,1,4,4,11,75,2.8665008,6232,39,128184,1
0,0,0,0,1,2,18,6.8732747,6232,39,128184,0
0,0,0,0,0,0,2,10.3247276,16871,35,144796,0
1,1,12,37,76,126,217,0,34221,28,182927.31,1
0,0,0,0,1,6,23,5.0447993,11311,34,124159,0
6,7,11,15,25,62,160,0.0302655,6232,39,128184,1
0,2,12,33,91,147,246,1.2035169,18614,30,169443.96,1
0,0,0,4,6,7,64,4.74624,34221,28,182927.31,0
0,3,13,39,50,86,230,1.1338152,36981,31,164856,1
0,0,0,4,4,6,12,2.7385713,27534,32,132468,0
0,0,0,1,1,1,12,2.8160256,8283,36,117590.58,0
0,0,0,0,2,3,9,6.6287254,18295,36,108496.35,0
2,2,2,4,8,33,158,0.0133417,32393,30,142538.14,1
0,1,2,4,16,39,116,4.23384,12360,42,95556,1
0,0,0,1,1,2,25,2.1922226,32144,31,167577.18,0
0,2,5,24,50,112,212,2.2107578,16734,38,150821.66,1
0,0,0,0,0,0,6,15.9815519,11914,38,107411.92,0
7,10,29,61,87,136,223,0.029,34221,28,182927.31,1
6,7,11,16,27,65,161,0.294598,6232,39,128184,1
0,1,1,4,11,67,216,1.9664043,11344,32,162709.06,1
0,0,10,32,78,134,244,1.1687578,18614,30,169443.96,1
0,0,0,0,0,0,1,18.6569364,7539,45,157492,0
0,0,1,7,21,42,91,9.0080291,32393,30,142538.14,1
0,0,0,0,0,0,6,10.800463,35035,40,108496.35,0
15,15,25,59,74,129,215,0.0278029,34221,28,182927.31,1
0,0,2,8,17,52,132,3.4745683,8283,36,117590.58,1
4,4,10,38,88,136,250,0.1049952,34221,28,182927.31,1
0,1,1,1,1,2,3,0.501011,9450,38,96353.24,0
0,2,5,12,36,78,165,9.047099,3673,41,125552,1
0,0,0,0,0,0,1,17.2838075,6513,35,102979.26,0
0,0,0,0,0,2,4,7.6550637,8924,42,125739.63,0
0,3,7,13,25,67,113,10.1656925,6232,39,128184,1
0,0,0,0,1,3,18,5.5226805,17516,34,126162.82,0
0,5,12,26,56,106,189,11.3547347,16871,35,144796,1
0,0,0,0,0,0,4,10.9772492,11914,38,107411.92,0
7,7,11,15,24,59,160,0.0806226,6232,39,128184,1
0,0,0,1,1,3,9,4.1871118,6232,39,128184,0
0,4,10,24,46,143,244,9.2098201,11345,31,130480.48,1
